epoch,learning_rate,learning_rate_step,loss_step,step
0,,4.999306838726625e-06,2.85538249045203e-07,5949
,4.999279184188914e-06,,,5999
0,,4.999279099138221e-06,3.44121360740246e-07,5999
,4.999251108131034e-06,,,6049
0,,4.999250904802466e-06,3.0754654289921746e-07,6049
,4.999222495765545e-06,,,6099
0,,4.999222710466711e-06,3.2590210707894585e-07,6099
,4.9991933470986514e-06,,,6149
0,,4.999193151888903e-06,3.319621839636966e-07,6149
,4.999163662136668e-06,,,6199
0,,4.999163593311096e-06,3.4432750339874474e-07,6199
,4.99913344088603e-06,,,6249
0,,4.999133579985937e-06,3.074088681387366e-07,6249
,4.99910268335329e-06,,,6299
0,,4.999102657166077e-06,3.1104192999009683e-07,6299
,4.999071389545113e-06,,,6349
0,,4.999071279598866e-06,3.2423702123196563e-07,6349
,4.99903955946828e-06,,,6399
0,,4.999039447284304e-06,3.7480725723071373e-07,6399
,4.999007193129696e-06,,,6449
0,,4.999007160222391e-06,2.981418276704062e-07,6449
,4.998974290536372e-06,,,6499
0,,4.998974418413127e-06,3.2469117172695405e-07,6499
,4.998940851695442e-06,,,6549
0,,4.998940767109161e-06,2.9975078064126137e-07,6549
,4.998906876614152e-06,,,6599
0,,4.998906661057845e-06,2.6545046694081975e-07,6599
,4.9988723652998684e-06,,,6649
0,,4.998872555006528e-06,2.8529893825179897e-07,6649
,4.998837317760071e-06,,,6699
0,,4.99883753946051e-06,2.5548882831571973e-07,6699
,4.9988017340023565e-06,,,6749
0,,4.99880161441979e-06,3.188352479810419e-07,6749
,4.998765614034437e-06,,,6799
0,,4.99876568937907e-06,3.291690973128425e-07,6799
,4.998728957864144e-06,,,6849
0,,4.998728854843648e-06,2.9371690857260546e-07,6849
,4.99869176549942e-06,,,6899
0,,4.9986915655608755e-06,2.8665240847658424e-07,6899
,4.998654036948329e-06,,,6949
0,,4.998653821530752e-06,2.6793935603564023e-07,6949
,4.998615772219048e-06,,,6999
0,,4.998615622753277e-06,2.389433575444855e-07,6999
,4.99857697131987e-06,,,7049
0,,4.998576969228452e-06,2.8802807605643466e-07,7049
,4.998537634259207e-06,,,7099
0,,4.998537860956276e-06,2.9170260518185387e-07,7099
,4.998497761045585e-06,,,7149
0,,4.998497843189398e-06,3.219215898297989e-07,7149
,4.998457351687646e-06,,,7199
0,,4.998457370675169e-06,2.575037569840788e-07,7199
,4.998416406194151e-06,,,7249
0,,4.998416443413589e-06,3.278775864146155e-07,7249
,4.998374924573972e-06,,,7299
0,,4.9983750614046585e-06,3.262637164880289e-07,7299
,4.9983329068361035e-06,,,7349
0,,4.998332769901026e-06,3.025821513347182e-07,7349
,4.998290352989651e-06,,,7399
0,,4.998290478397394e-06,3.0278175700004795e-07,7399
,4.99824726304384e-06,,,7449
0,,4.998247277399059e-06,3.074254379953345e-07,7449
,4.998203637008008e-06,,,7499
0,,4.998203621653374e-06,3.3864859005916514e-07,7499
,4.998159474891613e-06,,,7549
0,,4.998159511160338e-06,3.008477165167278e-07,7549
,4.998114776704228e-06,,,7599
0,,4.9981149459199514e-06,2.8297975518398744e-07,7599
,4.99806954245554e-06,,,7649
0,,4.998069471184863e-06,3.175843801273004e-07,7649
,4.998023772155354e-06,,,7699
0,,4.998023996449774e-06,3.428879722378042e-07,7699
,4.997977465813591e-06,,,7749
0,,4.997977612219984e-06,2.7471386943034304e-07,7749
,4.99793062344029e-06,,,7799
0,,4.997930773242842e-06,2.858870402633329e-07,7799
,4.997883245045602e-06,,,7849
0,,4.997883024770999e-06,2.6709031430982577e-07,7849
,4.997835330639798e-06,,,7899
0,,4.997835276299156e-06,3.1486530360780307e-07,7899
,4.9977868802332615e-06,,,7949
0,,4.997787073079962e-06,3.371694958786975e-07,7949
,4.997737893836497e-06,,,7999
0,,4.9977379603660665e-06,3.410524982427887e-07,7999
,4.997688371460122e-06,,,8049
0,,4.99768839290482e-06,3.5614246485238255e-07,8049
